ICAOaddr,Lat,Lon,Heading,Alt,Speed,Squawk,Tailnr,Type,Reg,unk0,Src,Dest,Flightnr,unk1,unk2,Callsign,unk3,Airline
"",49.27,9.18,278,43350,458,"3206","F-EDDM2","LJ45","",1618580037,"","","",0,-2432,"LJ45",0,""
"A0FA8B",52.68,-9.23,277,43000,452,"6303","F-EGAB2","GLEX","N162QS",1618580036,"NHT","","",0,64,"N162QS",0,"EJA"
"3C670E",52.75,4.53,130,43000,500,"0516","F-EDWE1","A359","D-AIXN",1618580032,"LAX","MUC","LH453",0,0,"DLH453",0,"DLH"
"",54.09,9.52,243,43000,520,"3520","F-EDCG2","C750","",1618580037,"","","",0,0,"C750",0,""
"06A2E7",48.94,3.11,107,41000,488,"7242","F-EHWO1","B789","A7-BHD",1618580036,"LHR","DOH","QR8865",0,-64,"QTR41AG",0,"QTR"
"48C12E",52.10,5.44,93,41000,442,"2007","F-EDLN2","B738","SP-RKO",1618580035,"LTN","KRK","FR1813",0,0,"RYR9BT",0,"RYR"
"4BCDE7",49.68,12.06,115,41000,444,"7706","F-EDDF5","B738","TC-SOG",1618580033,"FRA","ADB","XQ971",0,0,"SXS2RM",0,"SXS"
"484B8F",49.69,13.92,112,41000,436,"1000","F-EDDC3","B737","PH-BGH",1618580036,"AMS","BUD","KL1977",0,0,"KLM1977",0,"KLM"
"4B17E6",49.02,2.13,138,41000,451,"2016","F-LFOP2","BCS1","HB-JBI",1618580037,"LHR","ZRH","LX333",0,0,"SWR30K",0,"SWR"
"AA3086",51.49,-0.68,99,40975,491,"1152","F-EGKA1","B744","N756CA",1618580034,"CVG","HHN","N8606",0,0,"NCR606",0,"NCR"
"86E4DA",53.59,3.50,207,40000,499,"2254","F-EGSH3","B789","JA868J",1618580036,"HND","LHR","JL43",0,0,"JAL43",0,"JAL"
"4AC999",52.89,12.82,201,40000,436,"3114","F-ESMS4","H25B","SE-RLY",1618580036,"BMA","","",0,0,"GFM6Y",0,"GFM"
"4402FF",49.27,12.23,308,40000,382,"1000","F-EDDM2","C25B","OE-GMB",1618580037,"LNZ","","",0,0,"MOZ309",0,"MOZ"
"4B17E0",50.53,13.89,244,40000,447,"1000","F-LKKV3","BCS1","HB-JBC",1618580037,"WAW","ZRH","LX1349",0,0,"SWR164J",0,"SWR"
