ID,icaotag,name,country
1,N/A,Unknown,\N
2,N/A,Private flight,
3,GNL,135 Airways,United States
4,RNX,1Time Airline,South Africa
5,WYT,2 Sqn No 1 Elementary Flying Training School,United Kingdom
6,TFU,213 Flight Unit,Russia
7,CHD,223 Flight Unit State Airline,Russia
8,TTF,224th Flight Unit,Russia
9,TWF,247 Jet Ltd,United Kingdom
10,SEC,3D Aviation,United States
11,MLA,40-Mile Air,United States
12,QRT,4D Air,Thailand
13,THD,611897 Alberta Limited,Canada
14,AAA,Ansett Australia,Australia
15,AAB,Abelag Aviation,Belgium
16,AAC,Army Air Corps,United Kingdom
17,AAD,Aero Aviation Centre Ltd.,Canada
18,SII,Aero Servicios Ejecutivos Internacionales,Mexico
19,BZS,Aero Biniza,Mexico
20,ABM,Aero Albatros,Spain
21,AAF,Aigle Azur,France
22,AAH,Aloha Airlines,United States
23,AAK,Alaska Island Air,United States
24,AAL,American Airlines,United States
25,AAM,Aviation Management Corporation,United States
26,AAO,Atlantis Airlines (USA),United States
27,AAP,Aerovista Airlines,United Arab Emirates
28,AAR,Asiana Airlines,Republic of Korea
29,AAS,Askari Aviation,Pakistan
30,AAU,Australia Asia Airlines,Australia
31,AAV,Astro Air International,United States
32,AAW,Afriqiyah Airways,Libya
33,AFU,Afrinat International Airlines,Gambia
34,AAX,Afric'air Express,Ivory Coast
35,AAY,Allegiant Air,United States
36,AAZ,Angus Aviation,Canada
37,ABA,Artem-Avia,Ukraine
38,ABB,African Business and Transportations,Democratic Republic of the Congo
39,ABE,Aban Air,Iran
40,ABF,Aerial Oy,Finland
41,ABG,Abakan-Avia,Russia
42,TUS,ABSA - Aerolinhas Brasileiras,Brazil
43,ABJ,Abaet,Brazil
44,ABK,Alberta Citylink,Canada
45,ABO,APSA Colombia,Colombia
46,ABU,Aerovias Bueno,Colombia
47,ACR,Aerocenter,AEROCENTER
48,ABV,Antrak Air,Ghana
49,ABX,Airborne Express,United States
50,ABX,ABX Air,United States
51,ABZ,ATA Brasil,Brazil
52,ACC,Avcard Services,United Kingdom
53,ACD,Academy Airlines,United States
