ID,iatatag,name,country,lat,lon
1,UTK,Utirik Airport,MH,169.852005,11.222
2,OCA,Ocean Reef Club Airport,US,-80.274803161621,25.325399398804
3,PQS,Pilot Station Airport,US,-162.899994,61.934601
4,CSE,Crested Butte Airpark,US,-106.928341,38.851918
5,JCY,LBJ Ranch Airport,US,-98.6224975586,30.251800537100003
6,PMX,Metropolitan Airport,US,-72.31140136719999,42.2233009338
7,WLR,Loring Seaplane Base,US,-131.636993408,55.6012992859
8,NUP,Nunapitchuk Airport,US,-162.440454,60.905591
9,PTC,Port Alice Seaplane Base,US,-133.597,55.803
10,ICY,Icy Bay Airport,US,-141.662002563,59.96900177
11,PPV,Port Protection Seaplane Base,US,-133.61000061035,56.328800201416
12,KKK,Kalakaket Creek AS Airport,US,-156.820392609,64.4166256967
13,MHS,Dunsmuir Muni-Mott Airport,US,-122.272003,41.263199
14,NIR,Chase Field Industrial Airport,US,-97.661917,28.362444
15,GCT,Grand Canyon Bar Ten Airstrip,US,-113.231159,36.258614
16,ELW,Ellamar Seaplane Base,US,-146.704038,60.893818
17,LVD,Lime Village Airport,US,-155.440002441,61.3591003418
18,HGZ,Hog River Airport,US,-155.6690063,66.2161026
19,OTN,Ed-Air Airport,US,-87.4997024536,38.851398468
20,TLF,Telida Airport,US,-153.26899719238,63.393901824951
21,BZT,Eagle Air Park,US,-95.579696655273,28.982200622559
22,HBH,Entrance Island Seaplane Base,US,-133.43848,57.412201
23,FAK,False Island Seaplane Base,US,-135.212997437,57.5321998596
24,BYW,Blakely Island Airport,US,-122.825996399,48.578998565700005
25,DRF,Drift River Airport,US,-152.162002563,60.5889015198
26,BDF,Rinkenberger Restricted Landing Area,US,-89.61569976810001,41.2308998108
27,VRS,Roy Otten Memorial Airfield,US,-92.875198364258,38.427799224854
28,GDH,Golden Horn Lodge Seaplane Base,US,-158.875,59.7470016479
29,ATT,Atmautluak Airport,US,-162.272995,60.866699
30,LIV,Livengood Camp Airport,US,-148.6534,65.467
31,PDB,Pedro Bay Airport,US,-154.12399292,59.7896003723
32,KOZ,Ouzinkie Airport,US,-152.496715,57.925362
33,TNK,Tununak Airport,US,-165.27200317383,60.575500488281
34,EVA,Ben Bruce Memorial Airpark,US,-94.0735015869,30.3209991455
35,WHD,Hyder Seaplane Base,US,-130.009975,55.903324
36,MNT,Minto Al Wright Airport,US,-149.369995,65.1437
37,TKI,Tokeen Seaplane Base,US,-133.32699585,55.9370994568
38,WKK,Aleknagik / New Airport,US,-158.617996216,59.2826004028
39,WFB,Ketchikan Harbor Seaplane Base,US,-131.677002,55.349899
40,NNK,Naknek Airport,US,-157.02000427246,58.732898712158
41,BKF,Lake Brooks Seaplane Base,US,-155.77699279785,58.554798126221
42,BCS,Southern Seaplane Airport,US,-90.0222015381,29.8661003113
43,SPQ,Catalina Air-Sea Terminal Heliport,US,-118.275001526,33.7491989136
44,TSS,East 34th Street Heliport,US,-73.97209930419922,40.74259948730469
45,QNY,New York Skyports Inc Seaplane Base,US,-73.9729,40.734001
46,BWL,Earl Henry Airport,US,-97.3170013428,36.7958984375
47,WYB,Yes Bay Lodge Seaplane Base,US,-131.800994873,55.9163017273
48,CWS,Center Island Airport,US,-122.832000732,48.4901008606
49,TEK,Tatitlek Airport,US,-146.690297,60.871449
50,DUF,Pine Island Airport,US,-75.7884979248,36.2535018921
51,SSW,Stuart Island Airpark,US,-123.17600250244,48.672901153564
52,FOB,Fort Bragg Airport,US,-123.79599762,39.4743003845
53,PUL,Port of Poulsbo Marina Moorage Seaplane Base,US,-122.64700317383,47.734001159668
54,CCD,Century City Heliport,US,-118.417999268,34.060798645
55,WMK,Meyers Chuck Seaplane Base,US,-132.255004883,55.7396011353
56,AXB,Maxson Airfield,US,-75.90034,44.312002
57,REE,Reese Airpark,US,-102.03700256348,33.590301513672
58,WDN,Waldron Airstrip,US,-123.017998,48.7118
59,WWP,Whale Pass Seaplane Float Harbor Facility,US,-133.121994,56.116299
60,CHU,Chuathbaluk Airport,US,-159.216003,61.579102
61,UGS,Ugashik Airport,US,-157.399002075,57.5279006958
62,MXG,Marlboro Airport,US,-71.509002,42.343201
63,PSQ,Philadelphia Seaplane Base,US,-75.299598693848,39.859001159668
64,KLL,Levelock Airport,US,-156.85899353,59.1281013489
65,SGW,Saginaw Seaplane Base,US,-134.158004761,56.8862991333
66,WTL,Tuntutuliak Airport,US,-162.667007446,60.3353004456
67,TWA,Twin Hills Airport,US,-160.27299499512,59.07559967041
68,KCQ,Chignik Lake Airport,US,-158.774993896,56.2550010681
69,AAD,Adado Airport,SO,46.6375,6.095802
70,ABP,Atkamba Airport,PG,141.095277778,-6.0655555555600005
71,ABW,Abau Airport,PG,148.7389,-10.1956
72,ALV,Andorra la Vella Heliport,AD,1.533551,42.511174
73,ADC,Andakombe Airport,PG,145.744722222,-7.13722222222
74,ADV,El Daein Airport,SD,26.1186,11.4023
75,DJH,Jebel Ali Seaplane Base,AE,55.023796,24.988967
76,AEE,Adareil Airport,SS,32.9594444444,10.0536111111
77,AEI,Algeciras Heliport,ES,-5.441118,36.12888
78,AEK,Aseki Airport,PG,146.19386673,-7.35080485552
79,AEQ,Ar Horqin Airport,CN,120.15958,43.87042
80,URZ,OrÅ«zgÄn Airport,AF,66.630897522,32.9029998779
81,OLR,Salerno Airport,AF,69.9561,33.3638
82,AFK,Kondavattavana Tank Seaplane Base,LK,81.644,7.284
83,AFR,Afore Airstrip,PG,148.390833333,-9.14222222222
84,AFT,Afutara Aerodrome,SB,160.948611111,-9.19138888889
85,RNA,Ulawa Airport,SB,161.979546547,-9.86054358262
86,ATD,Uru Harbour Airport,SB,161.011002,-8.87333
87,VEV,Barakoma Airport,SB,156.70599365234375,-7.912779808044434
88,GEF,Geva Airport,SB,156.5970001220703,-7.575829982757568
89,AGG,Angoram Airport,PG,144.073888889,-4.05583333333
90,AKS,Gwaunaru'u Airport,SB,160.682007,-8.70257
91,BNY,Bellona/Anua Airport,SB,159.798333333,-11.3022222222
92,CHY,Choiseul Bay Airport,SB,156.396111,-6.711944
93,BAS,Ballalae Airport,SB,155.886656,-6.990745
94,FRE,Fera/Maringe Airport,SB,159.576996,-8.1075
95,HIR,Honiara International Airport,SB,160.05499267578,-9.4280004501343
96,MBU,Babanakira Airport,SB,159.83900451660156,-9.7475004196167
97,AVU,Avu Avu Airport,SB,160.410555556,-9.86833333333
98,IRA,Ngorangora Airport,SB,161.897994995,-10.4497003555
99,SCZ,Santa Cruz/Graciosa Bay/Luova Airport,SB,165.7949981689453,-10.72029972076416
100,MUA,Munda Airport,SB,157.26300048828125,-8.327969551086426
101,GZO,Nusatupe Airport,SB,156.863998413,-8.09778022766
102,MNY,Mono Airport,SB,155.56500244140625,-7.416940212249756
103,PRS,Parasi Airport,SB,161.4250030517578,-9.64167022705078
104,OTV,Ontong Java Atoll Airstrip,SB,159.527778,-5.515
105,RNL,Rennell/Tingoa Airport,SB,160.06300354003906,-11.533900260925291
106,EGM,Sege Airport,SB,157.87600708007812,-8.578889846801758
107,NNB,Santa Ana Airport,SB,162.454108,-10.847994
108,RUS,Marau Airport,SB,160.824996948,-9.86166954041
109,VAO,Suavanao Airport,SB,158.7310028076172,-7.585559844970703
110,XYA,Yandina Airport,SB,159.21841,-9.092816
111,AGK,Kagua Airport,PG,143.853611111,-6.396388888890001
112,KGE,Kaghau Airport,SB,157.585,-7.3305
113,KUE,Kukudu Airport,SB,156.94783,-8.0262
114,KWS,Kwailabesi Airport,SB,160.775127,-8.360508
115,AGL,Wanigela Airport,PG,149.155555556,-9.3375
116,NAZ,Nana Airport,SB,162.2049,-10.6758
117,RIN,Ringi Cove Airport,SB,157.14300537109375,-8.12639045715332
118,RBV,Ramata Airport,SB,157.64300537109375,-8.168060302734375
119,TLG,Tulaghi Heliport,SB,160.149166667,-9.108
120,AGY,Argyle Downs Airport,AU,128.9245,-16.514
121,AHJ,Hongyuan Airport,CN,102.35224,32.53154
122,AHT,Amchitka Army Airfield,US,179.259166667,51.3777777778
123,AHY,Ambatolhy Airport,MG,45.535,-20.0158333333
124,AIE,Aiome Airport,PG,144.7307003,-5.145699978
125,AIH,Aiambak Airport,PG,141.2675,-7.342777777779999
126,AIC,Ailinglaplap Airok Airport,MH,168.8257,7.279422
127,CEX,Chena Hot Springs Airport,US,-146.04699707,65.0518035889
128,SOL,Solomon State Field,US,-164.4457,64.5605
129,HED,Herendeen Bay Airport,US,-160.899002075,55.801399231
130,TWE,Taylor Airport,US,-164.798995972,65.6792984009
131,KTH,Tikchik Lodge Seaplane Base,US,-158.477005005,59.9631996155
132,NKI,Naukati Bay Seaplane Base,US,-133.227994,55.849602
133,LNI,Lonely Air Station,US,-153.2420044,70.91069794
134,CDL,Candle 2 Airport,US,-161.925994873,65.907699585
135,AOS,Amook Bay Seaplane Base,US,-153.815002441,57.4715003967
136,BSZ,Bartletts Airport,US,-157.352005005,58.2162017822
137,BSW,Boswell Bay Airport,US,-146.145996094,60.4230995178
138,AKM,Zakuoma Airport,TD,19.8172222222,10.8902777778
139,TGE,Sharpe Field,US,-85.7755966187,32.4919013977
140,ALZ,Alitak Seaplane Base,US,-154.248001099,56.8995018005
141,PPE,Mar de CortÃ©s International Airport,MX,-113.305177,31.351987
142,AME,Alto Molocue Airport,MZ,37.6813888889,-15.6102777778
143,AMF,Ama Airport,PG,141.67,-4.10111111111
144,AMU,Amanab Airport,PG,141.214333333,-3.586
145,AMY,Ambatomainty Airport,MG,45.623888888900005,-17.6866666667
146,ANH,Anuha Island Resort Airport,SB,160.225,-9.00138888889
147,INU,Nauru International Airport,NR,166.919006,-0.547458
148,ANZ,Angus Downs Airport,AU,132.2748,-25.0325
149,ANL,Andulo Airport,AO,16.710899353,-11.4722995758
150,CNZ,Cangamba Airport,AO,19.861099,-13.7106
151,DRC,Dirico Airport,AO,20.7680606842041,-17.981924057006836
152,GGC,Lumbala Airport,AO,22.5868206024,-12.6398773193
153,JMB,Jamba Airport,AO,16.070148468017578,-14.698192596435549
154,KNP,Capanda Airport,AO,15.4553194046,-9.76937007904
155,NDF,Ndalatandos Airport,AO,14.977242469787598,-9.275188446044922
156,AOA,Aroa Airport,PG,146.8,-9.0254
157,AOB,Annanberg Airport,PG,144.635833333,-4.90416666667
158,AOD,Abou-DeÃ¯a Airport,TD,19.2874,11.4773
159,APP,Asapa Airport,PG,148.103611111,-8.97916666667
160,APR,April River Airport,PG,142.540138889,-4.67666666667
161,QET,Troll Airfield,AQ,2.455581,-71.95559
162,AQY,Girdwood Airport,US,-149.126007,60.966099
163,QRF,Bragado Airport,AR,-60.4803,-35.144
164,CVI,Caleta Olivia Airport,AR,-67.5186004639,-46.4318008423
165,CNT,Charata Airport,AR,-61.2103,-27.2164
166,VGS,General Villegas Airport,AR,-63.0,-35.0
167,LMD,Los Menucos Airport,AR,-68.074699,-40.817699
168,SZQ,Saenz PeÃ±a Airport,AR,-60.448299407958984,-26.81579971313477
169,VCF,Valcheta Airport,AR,-66.1500015259,-40.7000007629
170,NCJ,Sunchales Aeroclub Airport,AR,-61.5283,-30.9575
171,CPG,Carmen De Patagones Airport,AR,-62.9803,-40.7781
172,PRQ,Termal Airport,AR,-60.492222,-26.753611
173,OLN,Colonia Sarmiento Airport,AR,-68.999841,-45.582371
174,ARP,Aragip Airport,PG,149.483333333,-9.88333333333
175,ARX,Asbury Park Neptune Air Terminal,US,-74.0908333333,40.2193055556
176,TAV,Tau Airport,AS,-169.511001587,-14.2292003632
177,ASZ,Asirim Airport,PG,150.368611111,-6.009722222220001
178,ATN,Namatanai Airport,PG,152.438,-3.6695
179,ATP,Aitape Airport,PG,142.346805556,-3.14361111111
180,LYT,Lady Elliot Island Airstrip,AU,152.7156,-24.1129
