ID,plane,src,dest,flightnr,callsign,start,endTime
1,1,IST,RIX,TK1757,THY6CD,1662969209,1662969209
2,2,HEL,BUD,AY1251,FIN4AT,1662969208,1662973155
3,3,AYT,DME,TK3954,THY3XU,1662969209,1662969209
4,4,IST,TLL,TK1421,THY3XB,1662969210,1662969210
5,5,,,,TURBO56,1662969206,1662969206
6,6,,,PNC3005,PNC3005,1662969209,1662969209
7,7,WAW,HEL,AY1142,FIN73P,1662969209,1662969209
8,8,AYT,LED,TK3960,THY1GM,1662969207,1662969207
9,9,ATQ,LHR,AI169,AIC169,1662969209,1662969209
10,10,KUN,LTN,W95116,WUK31MF,1662969208,1662969208
11,11,OSL,VNO,FR1502,RYR1502,1662969208,1662969208
12,12,BLL,VNO,W68070,WZZ1064,1662969208,1662969208
13,13,SQQ,,,YANK01,1662969209,1662969209
14,14,VNO,RIX,BT342,BTI3G2,1662969209,1662969209
15,15,SVO,MSQ,B2976,BRU976,1662969209,1662969209
16,16,SVO,MSQ,SU1836,AFL1836,1662969208,1662969208
17,17,MSQ,DME,B2957,BRU957,1662969209,1662969209
18,18,TAS,MSQ,HY709,UZB709,1662969210,1662971339
19,19,VKO,MSQ,RSD77,RSD077,1662969208,1662971567
20,20,TAS,RIX,HY103,UZB103,1662969208,1662973176
21,21,MCX,LED,DP505,PBD505,1662969209,1662972684
22,22,KGD,VKO,DP262,PBD262,1662969210,1662969210
23,23,KGD,PEE,EO884,KAR884,1662969210,1662969210
24,24,STN,KUN,FR2746,RYR78BB,1662969208,1662969208
25,25,LED,KGD,5N505,AUL505,1662969208,1662969208
26,26,FRA,PEK,CA582,CCA582,1662969208,1662969208
27,27,DME,KGD,U6371,SVR371,1662969208,1662969208
28,28,KUN,AAL,FR7637,RYR7637,1662969209,1662969209
29,29,LPX,,,YLPAD,1662969207,1662969207
30,30,LPX,,,YLPAH,1662969208,1662969208
31,31,,,PNC3005,PNC3005,1662969209,1662969209
32,32,WAW,HEL,AY1142,FIN73P,1662969209,1662969209
33,33,AYT,LED,TK3960,THY1GM,1662969207,1662969207
34,34,STN,RIX,FR2642,RYR1QQ,1662969210,1662969210
35,35,ATQ,LHR,AI169,AIC169,1662969209,1662969209
36,36,EMA,RIX,FR1664,RYR576R,1662969210,1662969210
37,37,ARN,RIX,BT102,BTI1M2,1662969210,1662969210
38,38,HEL,SPU,D82844,NSZ2844,1662969210,1662969210
39,39,KUN,LTN,W95116,WUK31MF,1662969208,1662969208
40,40,OSL,VNO,FR1502,RYR1502,1662969208,1662969208
41,41,VNO,TLL,,DETER,1662969210,1662969210
42,42,SQQ,,,YANK01,1662969209,1662969209
43,43,SVO,MSQ,SU1836,AFL1836,1662969208,1662969208
44,44,SAW,MUC,TK7738,THY6YB,1662969208,1662975097
45,45,AYT,LED,TK3672,THY7CP,1662969208,1662975097
46,46,KIV,IST,TK270,THY4PT,1662969210,1662969210
47,47,,,,CL60,1662969207,1662969207
48,48,OTP,AYT,H41577,HYS1577,1662969208,1662973612
49,49,HAM,IST,TK1668,THY8HQ,1662969209,1662970609
50,50,SAW,CPH,PC1071,PGT37R,1662969208,1662973612
51,51,AYT,KIV,TI4401,TWI4401,1662969208,1662969208
52,52,CND,IST,TK1066,THY49KB,1662969207,1662971471
53,53,DXB,MAN,EK17,UAE3EL,1662969208,1662975096
54,54,DWC,AMS,EK9989,UAE9989,1662969210,1662975097
55,55,ICN,LEJ,3S565,BOX565,1662969209,1663253369
56,56,DXB,GLA,EK27,UAE27,1662969208,1662975096
57,57,ZIA,IST,WZ75,RWZ075,1662969208,1662971855
58,58,IST,NOP,TK2842,THY8AD,1662969210,1662969751
59,59,MRV,IST,A4669,AZO669,1662969210,1662973019
60,60,DXB,WAW,EK179,UAE96A,1662969207,1662975098
61,61,AER,DME,U6280,SVR280,1662969209,1662975095
62,62,EVN,AER,SU6720,SDM6720,1662969204,1662969389
63,63,AER,,,,1662969143,1662969143
64,64,AER,LED,U6548,SVR548,1662969210,1664276136
