ID,tailnr,icaonr,registration,type,airline
1,F-EPWA1,4BB069,TC-LCI,B38M,4867
2,F-EPSY4,461E1E,OH-LKO,E190,2327
3,F-EPML3,4BA8D4,TC-JFT,B738,1
4,F-EVRA6,4BB06C,TC-LCL,B38M,4867
5,T-MLAT1,48D907,041,PZ3T,3939
6,F-EYSA4,502C16,,,1
7,F-EYPP2,461E15,OH-LKF,E190,2327
8,F-EPWA9,4BA8F6,TC-JGV,B738,1
9,F-EYVI9,800740,VT-ANZ,B788,214
10,F-EYKA2,40762B,G-WUKH,A321,5361
11,F-UMMG6,48C125,SP-RKF,B738,4230
12,F-EYVI7,47340E,HA-LPN,A320,5361
13,F-UMII4,AE515E,88-00325,BE20,1
14,F-EYVI6,502CC7,YL-CSB,BCS3,327
15,F-UMMS5,510077,EW-366PA,B733,1464
16,F-UMOO2,151DA3,RA-73123,B738,127
17,F-UMII4,510043,EW-254PA,B733,1464
18,F-UMII3,507C43,UK32020,A320,5190
19,F-UUEE6,151D42,RA-73026,A319,5813
20,F-UUEE6,507C5A,UK32023,A20N,5190
21,F-UUWW6,151E22,RA-73250,B738,5996
22,F-EYPA2,151E21,RA-73249,B738,5996
23,F-EVRA6,140AB3,RA-02739,E190,5754
24,F-EYKL4,4D22AD,9H-LMG,A320,3198
25,F-EFHK5,151FBF,RA-73663,A20N,497
26,F-ESSL1,7811A5,B-1469,B789,743
27,F-ESSV1,152072,RA-73842,A321,5143
28,F-EYSA4,48C12C,SP-RKM,B738,4230
29,F-EYKL4,502D20,YL-PAD,DA40,1
30,F-EVVA1,502D2D,YL-PAH,DA40,1
31,F-EYSA4,502C16,,,1
32,F-EYPP2,461E15,OH-LKF,E190,2327
33,F-EPWA9,4BA8F6,TC-JGV,B738,1
34,F-EVRA7,4CA6A3,EI-DYN,B738,4230
35,F-EYVI9,800740,VT-ANZ,B788,214
36,F-EVRA7,4CA4F5,EI-DPR,B738,4230
37,F-EVRA7,4A1B41,YR-FZA,F100,1654
